epoch,batch,loss,grad_norm
1,1,0.491026,0.0000
1,2,0.186496,0.0000
1,3,1.705628,0.0000
1,4,2.668367,0.0000
2,1,1.193587,0.0000
2,2,0.509236,0.0000
2,3,1.950704,0.0000
2,4,2.100294,0.0000
