step 59 accepted True metropolis_acceptance 1.00109 min_1_r na mover PathSimulatorMover cv [0.0864574,1.39876]
step 60 accepted True metropolis_acceptance 0.999153 min_1_r na mover PathSimulatorMover cv [0.0966083,1.38792]
step 61 accepted True metropolis_acceptance 1.00023 min_1_r na mover PathSimulatorMover cv [0.0926003,1.39275]
step 62 accepted True metropolis_acceptance 0.999998 min_1_r na mover PathSimulatorMover cv [0.0922031,1.40114]
step 63 accepted True metropolis_acceptance 1.00014 min_1_r na mover PathSimulatorMover cv [0.0912002,1.40392]
step 64 accepted True metropolis_acceptance 0.999798 min_1_r na mover PathSimulatorMover cv [0.144136,1.40947]
step 65 accepted True metropolis_acceptance 1.00164 min_1_r na mover PathSimulatorMover cv [0.0795769,1.39504]
step 66 accepted True metropolis_acceptance 0.999905 min_1_r na mover PathSimulatorMover cv [0.0802457,1.39532]
step 67 accepted True metropolis_acceptance 1.23782 min_1_r na mover PathSimulatorMover cv [0.471759,1.385]
step 68 accepted True metropolis_acceptance 1.04462 min_1_r na mover PathSimulatorMover cv [0.506675,1.39756]
step 69 accepted True metropolis_acceptance 0.784044 min_1_r na mover PathSimulatorMover cv [0.0927445,1.41437]
step 70 accepted True metropolis_acceptance 1.00355 min_1_r na mover PathSimulatorMover cv [0.06819,1.40453]
step 71 accepted True metropolis_acceptance 0.994327 min_1_r na mover PathSimulatorMover cv [0.117081,1.39648]
step 72 accepted True metropolis_acceptance 1.01173 min_1_r na mover PathSimulatorMover cv [0.0440468,1.41048]
step 73 accepted True metropolis_acceptance 1.00247 min_1_r na mover PathSimulatorMover cv [0.034987,1.40457]
step 74 accepted True metropolis_acceptance 0.9868 min_1_r na mover PathSimulatorMover cv [0.11897,1.41054]
step 75 accepted True metropolis_acceptance 1.00068 min_1_r na mover PathSimulatorMover cv [0.100298,1.39556]
step 76 accepted True metropolis_acceptance 1.00057 min_1_r na mover PathSimulatorMover cv [0.0948082,1.39143]
step 77 accepted True metropolis_acceptance 1.26116 min_1_r na mover PathSimulatorMover cv [0.491549,1.40914]
step 78 accepted True metropolis_acceptance 1.04449 min_1_r na mover PathSimulatorMover cv [0.525071,1.40454]
step 79 accepted False metropolis_acceptance 0.768629 min_1_r na mover PathSimulatorMover cv [0.525071,1.40454]
step 80 accepted True metropolis_acceptance 0.999385 min_1_r na mover PathSimulatorMover cv [0.524611,1.40401]
step 81 accepted True metropolis_acceptance 0.778951 min_1_r na mover PathSimulatorMover cv [0.121606,1.40994]
step 82 accepted True metropolis_acceptance 1.00146 min_1_r na mover PathSimulatorMover cv [0.106582,1.38375]
step 83 accepted True metropolis_acceptance 1.00315 min_1_r na mover PathSimulatorMover cv [0.0829678,1.40745]
step 84 accepted True metropolis_acceptance 1.00565 min_1_r na mover PathSimulatorMover cv [0.0575583,1.39927]
step 85 accepted True metropolis_acceptance 0.993071 min_1_r na mover PathSimulatorMover cv [0.0906287,1.39959]
step 86 accepted True metropolis_acceptance 1.00001 min_1_r na mover PathSimulatorMover cv [0.0905652,1.39862]
step 87 accepted True metropolis_acceptance 1.00211 min_1_r na mover PathSimulatorMover cv [0.0786454,1.40533]
step 88 accepted True metropolis_acceptance 0.999731 min_1_r na mover PathSimulatorMover cv [0.0799599,1.40414]
step 89 accepted True metropolis_acceptance 0.999976 min_1_r na mover PathSimulatorMover cv [0.0801011,1.40424]
step 90 accepted True metropolis_acceptance 1.00435 min_1_r na mover PathSimulatorMover cv [0.0677681,1.43201]
step 91 accepted True metropolis_acceptance 0.993096 min_1_r na mover PathSimulatorMover cv [0.0980012,1.40366]
step 92 accepted True metropolis_acceptance 0.999998 min_1_r na mover PathSimulatorMover cv [0.097878,1.40225]
step 93 accepted True metropolis_acceptance 1.00021 min_1_r na mover PathSimulatorMover cv [0.150721,1.37013]
step 94 accepted True metropolis_acceptance 1.00103 min_1_r na mover PathSimulatorMover cv [0.154517,1.3636]
step 95 accepted True metropolis_acceptance 0.997179 min_1_r na mover PathSimulatorMover cv [0.127873,1.38772]
step 96 accepted True metropolis_acceptance 1.00095 min_1_r na mover PathSimulatorMover cv [0.10565,1.39997]
step 97 accepted True metropolis_acceptance 0.998847 min_1_r na mover PathSimulatorMover cv [0.132492,1.39514]
step 98 accepted True metropolis_acceptance 1.00112 min_1_r na mover PathSimulatorMover cv [0.106772,1.39291]
step 99 accepted True metropolis_acceptance 0.99994 min_1_r na mover PathSimulatorMover cv [0.107779,1.39189]
step 100 accepted True metropolis_acceptance 0.999029 min_1_r na mover PathSimulatorMover cv [0.131302,1.39255]
step 101 accepted True metropolis_acceptance 1.01325 min_1_r na mover PathSimulatorMover cv [0.216379,1.37552]
step 102 accepted True metropolis_acceptance 0.992621 min_1_r na mover PathSimulatorMover cv [0.0755239,1.39235]
step 103 accepted True metropolis_acceptance 1.36821 min_1_r na mover PathSimulatorMover cv [0.564798,1.40025]
step 104 accepted True metropolis_acceptance 0.932762 min_1_r na mover PathSimulatorMover cv [0.513877,1.40451]
step 105 accepted True metropolis_acceptance 1.00003 min_1_r na mover PathSimulatorMover cv [0.513912,1.40394]
step 106 accepted True metropolis_acceptance 0.983769 min_1_r na mover PathSimulatorMover cv [0.50066,1.40006]
step 107 accepted True metropolis_acceptance 1.11411 min_1_r na mover PathSimulatorMover cv [0.581847,1.39707]
step 108 accepted True metropolis_acceptance 1.0046 min_1_r na mover PathSimulatorMover cv [0.585007,1.39806]
step 109 accepted True metropolis_acceptance 1.00014 min_1_r na mover PathSimulatorMover cv [0.585087,1.39479]
step 110 accepted False metropolis_acceptance 0.734523 min_1_r na mover PathSimulatorMover cv [0.585087,1.39479]
step 111 accepted True metropolis_acceptance 0.997451 min_1_r na mover PathSimulatorMover cv [0.583285,1.39619]
step 112 accepted True metropolis_acceptance 1.01726 min_1_r na mover PathSimulatorMover cv [0.595421,1.39563]
step 113 accepted True metropolis_acceptance 0.742276 min_1_r na mover PathSimulatorMover cv [0.0878397,1.39499]
step 114 accepted True metropolis_acceptance 1.00058 min_1_r na mover PathSimulatorMover cv [0.0865932,1.38554]
step 115 accepted True metropolis_acceptance 0.999733 min_1_r na mover PathSimulatorMover cv [0.087101,1.38926]
step 116 accepted True metropolis_acceptance 0.996679 min_1_r na mover PathSimulatorMover cv [0.102023,1.39808]
step 117 accepted True metropolis_acceptance 0.999522 min_1_r na mover PathSimulatorMover cv [0.110267,1.37512]
step 118 accepted True metropolis_acceptance 1.00027 min_1_r na mover PathSimulatorMover cv [0.105181,1.38382]
step 119 accepted True metropolis_acceptance 1.00006 min_1_r na mover PathSimulatorMover cv [0.105148,1.38276]
step 120 accepted True metropolis_acceptance 0.999963 min_1_r na mover PathSimulatorMover cv [0.104497,1.3859]
step 121 accepted True metropolis_acceptance 1.23414 min_1_r na mover PathSimulatorMover cv [0.519491,1.39388]
step 122 accepted True metropolis_acceptance 1.0131 min_1_r na mover PathSimulatorMover cv [0.530204,1.38572]
step 123 accepted True metropolis_acceptance 1.02224 min_1_r na mover PathSimulatorMover cv [0.548271,1.40252]
step 124 accepted True metropolis_acceptance 0.800658 min_1_r na mover PathSimulatorMover cv [0.0645068,1.40899]
step 125 accepted True metropolis_acceptance 1.00209 min_1_r na mover PathSimulatorMover cv [0.0576606,1.39454]
step 126 accepted True metropolis_acceptance 1.1239 min_1_r na mover PathSimulatorMover cv [0.451103,1.39044]
step 127 accepted True metropolis_acceptance 1.11796 min_1_r na mover PathSimulatorMover cv [0.552952,1.40721]
step 128 accepted True metropolis_acceptance 0.999784 min_1_r na mover PathSimulatorMover cv [0.552909,1.39769]
step 129 accepted True metropolis_acceptance 0.997034 min_1_r na mover PathSimulatorMover cv [0.55047,1.40206]
step 130 accepted True metropolis_acceptance 1.06308 min_1_r na mover PathSimulatorMover cv [0.597629,1.40984]
step 131 accepted True metropolis_acceptance 0.999954 min_1_r na mover PathSimulatorMover cv [0.597599,1.40973]
